ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2018-01-09,926910.8065138893,770024.4146283423,819796.3504960143,926861.2896270666,926973.1981637862,-131666.67662813247,-131666.67662813247,-131666.67662813247,-131666.67662813247,-131666.67662813247,-131666.67662813247,0.0,0.0,0.0,795244.1298857569
2018-01-10,927040.3897329131,776012.8516739203,822683.400060015,926986.9228557504,927105.8319190338,-128060.0267674037,-128060.0267674037,-128060.0267674037,-128060.0267674037,-128060.0267674037,-128060.0267674037,0.0,0.0,0.0,798980.3629655094
2018-01-11,927169.9729519368,776346.7786826056,825334.4443710541,927111.7187519205,927238.4535672296,-126308.94263521423,-126308.94263521423,-126308.94263521423,-126308.94263521423,-126308.94263521423,-126308.94263521423,0.0,0.0,0.0,800861.0303167226
2018-01-12,927299.5561709605,775216.160069397,825386.375185873,927239.5968519644,927371.3540014763,-126393.68342032551,-126393.68342032551,-126393.68342032551,-126393.68342032551,-126393.68342032551,-126393.68342032551,0.0,0.0,0.0,800905.872750635
2018-01-13,927429.1393899841,774000.9988033994,824485.8650336126,927364.5518610855,927503.2717562736,-128247.93755611753,-128247.93755611753,-128247.93755611753,-128247.93755611753,-128247.93755611753,-128247.93755611753,0.0,0.0,0.0,799181.2018338665
2018-01-14,927558.7226090077,770767.955094535,820391.2107553412,927490.4900976409,927635.1436057149,-131760.50613495414,-131760.50613495414,-131760.50613495414,-131760.50613495414,-131760.50613495414,-131760.50613495414,0.0,0.0,0.0,795798.2164740536
2018-01-15,927688.3058280315,766375.5120699917,815830.2521772215,927617.524883619,927766.9997900614,-136778.16977292873,-136778.16977292873,-136778.16977292873,-136778.16977292873,-136778.16977292873,-136778.16977292873,0.0,0.0,0.0,790910.1360551028
2018-01-16,927817.8890470552,761877.9020257816,809356.6864506447,927743.0342891742,927898.7107842036,-143109.660992939,-143109.660992939,-143109.660992939,-143109.660992939,-143109.660992939,-143109.660992939,0.0,0.0,0.0,784708.2280541161
2018-01-17,927947.4722660788,754746.0891226962,802520.0416584989,927869.0914379733,928031.8684575252,-150530.63377301217,-150530.63377301217,-150530.63377301217,-150530.63377301217,-150530.63377301217,-150530.63377301217,0.0,0.0,0.0,777416.8384930666
2018-01-18,928077.0554851026,744682.0907562734,795425.1448765962,927994.5737817176,928166.3826824122,-158789.4945939286,-158789.4945939286,-158789.4945939286,-158789.4945939286,-158789.4945939286,-158789.4945939286,0.0,0.0,0.0,769287.560891174
