YearMonth,Forecasted_Sales
2018-01,587546.7458118135
2018-02,488935.9106459672
2018-03,442476.1840039381
2018-04,243551.4316934513
2018-05,186921.0083448342
2018-06,81438.58375993243
2018-07,7966.643315147143
2018-08,-160904.99493614875
2018-09,-212803.0774265594
2018-10,-337126.7807072626
2018-11,-421205.2169616837
2018-12,-567320.9785199347
